Date,state
6/17/2019,New South Wales
6/17/2019,New South Wales
6/18/2019,New South Wales
6/18/2019,New South Wales
6/18/2019,Victoria
6/18/2019,New South Wales
6/19/2019,Victoria
6/19/2019,Western Australia
6/20/2019,Victoria
6/20/2019,New South Wales
6/20/2019,New South Wales
6/20/2019,South Australia
6/20/2019,South Australia
6/20/2019,South Australia
6/20/2019,Victoria
6/20/2019,New South Wales
6/20/2019,New South Wales
6/20/2019,New South Wales
6/20/2019,New South Wales
6/20/2019,New South Wales
6/20/2019,New South Wales
6/21/2019,Victoria
6/21/2019,New South Wales
6/21/2019,New South Wales
6/21/2019,Victoria
6/23/2019,New South Wales
6/23/2019,South Australia
6/24/2019,Victoria
6/24/2019,New South Wales
6/24/2019,New South Wales
6/24/2019,New South Wales
6/24/2019,New South Wales
6/25/2019,New South Wales
6/25/2019,Queensland
6/25/2019,Queensland
6/25/2019,Victoria
6/27/2019,Victoria
6/27/2019,Queensland
6/28/2019,New South Wales
6/28/2019,New South Wales
6/28/2019,New South Wales
6/28/2019,Victoria
6/28/2019,New South Wales
6/28/2019,Western Australia
6/28/2019,Western Australia
6/28/2019,New South Wales
6/30/2019,Victoria
7/1/2019,New South Wales
7/1/2019,New South Wales
7/1/2019,Victoria
7/1/2019,Victoria
7/1/2019,New South Wales
7/1/2019,New South Wales
7/1/2019,Victoria
7/1/2019,New South Wales
7/1/2019,New South Wales
7/2/2019,Victoria
7/2/2019,New South Wales
7/2/2019,South Australia
7/3/2019,Victoria
7/3/2019,Victoria
7/3/2019,Western Australia
7/3/2019,New South Wales
7/4/2019,Victoria
7/4/2019,Victoria
7/4/2019,Victoria
7/4/2019,Western Australia
7/5/2019,New South Wales
7/5/2019,Western Australia
7/6/2019,New South Wales
7/6/2019,New South Wales
7/6/2019,Victoria
7/8/2019,Victoria
7/8/2019,Victoria
7/8/2019,Victoria
7/9/2019,Queensland
7/9/2019,Victoria
7/9/2019,New South Wales
7/9/2019,New South Wales
7/9/2019,Victoria
7/10/2019,Victoria
7/10/2019,New South Wales
7/10/2019,New South Wales
7/10/2019,New South Wales
7/10/2019,New South Wales
7/10/2019,Victoria
7/10/2019,New South Wales
7/11/2019,Australian Capital Territory
7/11/2019,Australian Capital Territory
7/11/2019,Australian Capital Territory
7/11/2019,Australian Capital Territory
7/11/2019,New South Wales
7/11/2019,New South Wales
7/11/2019,New South Wales
7/12/2019,New South Wales
7/12/2019,Australian Capital Territory
7/12/2019,New South Wales
7/12/2019,Victoria
7/12/2019,New South Wales
7/12/2019,New South Wales
7/15/2019,New South Wales
7/15/2019,New South Wales
7/15/2019,New South Wales
7/16/2019,New South Wales
7/16/2019,New South Wales
7/16/2019,Queensland
7/16/2019,Queensland
7/16/2019,South Australia
7/17/2019,New South Wales
7/17/2019,Western Australia
7/18/2019,New South Wales
7/18/2019,Western Australia
7/18/2019,New South Wales
7/18/2019,New South Wales
7/18/2019,New South Wales
7/19/2019,Queensland
7/19/2019,Victoria
7/19/2019,Victoria
7/19/2019,New South Wales
7/19/2019,New South Wales
7/22/2019,New South Wales
7/22/2019,Victoria
7/22/2019,Western Australia
7/22/2019,New South Wales
7/22/2019,New South Wales
7/23/2019,New South Wales
7/23/2019,New South Wales
7/23/2019,New South Wales
7/24/2019,Victoria
7/24/2019,New South Wales
7/24/2019,South Australia
7/24/2019,Victoria
7/24/2019,New South Wales
7/24/2019,Victoria
7/24/2019,New South Wales
7/24/2019,Victoria
7/24/2019,Western Australia
7/25/2019,New South Wales
7/25/2019,New South Wales
7/25/2019,Victoria
7/25/2019,Victoria
7/25/2019,New South Wales
7/25/2019,New South Wales
7/26/2019,New South Wales
7/26/2019,Victoria
7/29/2019,New South Wales
7/29/2019,New South Wales
7/30/2019,New South Wales
7/30/2019,New South Wales
7/30/2019,New South Wales
7/30/2019,New South Wales
7/30/2019,New South Wales
7/31/2019,New South Wales
7/31/2019,New South Wales
7/31/2019,New South Wales
8/1/2019,Western Australia
8/1/2019,Western Australia
8/1/2019,New South Wales
8/1/2019,Victoria
8/1/2019,New South Wales
8/2/2019,New South Wales
8/2/2019,Victoria
8/2/2019,Victoria
8/2/2019,Western Australia
8/4/2019,New South Wales
8/5/2019,New South Wales
8/5/2019,Victoria
8/5/2019,Queensland
8/5/2019,New South Wales
8/6/2019,Queensland
8/6/2019,New South Wales
8/6/2019,New South Wales
8/6/2019,New South Wales
8/7/2019,New South Wales
8/7/2019,Western Australia
8/7/2019,Queensland
8/8/2019,Victoria
8/8/2019,Western Australia
8/8/2019,South Australia
8/8/2019,South Australia
8/8/2019,New South Wales
8/8/2019,South Australia
8/8/2019,South Australia
8/9/2019,South Australia
8/9/2019,New South Wales
8/9/2019,New South Wales
8/12/2019,South Australia
8/12/2019,Victoria
8/12/2019,South Australia
8/13/2019,New South Wales
8/13/2019,New South Wales
8/13/2019,Australian Capital Territory
8/13/2019,Australian Capital Territory
8/13/2019,Western Australia
8/14/2019,New South Wales
8/14/2019,New South Wales
8/14/2019,New South Wales
8/14/2019,Victoria
8/15/2019,South Australia
8/15/2019,New South Wales
8/15/2019,New South Wales
8/15/2019,New South Wales
8/15/2019,Victoria
8/15/2019,Victoria
8/16/2019,Victoria
8/16/2019,Victoria
8/16/2019,Victoria
8/16/2019,Western Australia
8/16/2019,New South Wales
8/16/2019,Victoria
8/16/2019,Victoria
8/16/2019,Victoria
8/16/2019,New South Wales
8/16/2019,New South Wales
8/16/2019,Queensland
8/17/2019,Queensland
8/17/2019,New South Wales
8/18/2019,New South Wales
8/18/2019,New South Wales
8/18/2019,New South Wales
8/18/2019,New South Wales
8/19/2019,Victoria
8/19/2019,New South Wales
8/19/2019,New South Wales
8/20/2019,Western Australia
8/20/2019,Western Australia
8/20/2019,Queensland
8/20/2019,New South Wales
8/20/2019,New South Wales
8/20/2019,New South Wales
8/20/2019,Victoria
8/20/2019,Queensland
8/20/2019,New South Wales
8/21/2019,Victoria
8/21/2019,New South Wales
8/21/2019,New South Wales
8/22/2019,Queensland
8/22/2019,South Australia
8/23/2019,Queensland
8/23/2019,New South Wales
8/23/2019,New South Wales
8/23/2019,New South Wales
8/23/2019,Victoria
8/26/2019,Queensland
8/26/2019,Australian Capital Territory
8/26/2019,Queensland
8/26/2019,Victoria
8/26/2019,Australian Capital Territory
8/26/2019,New South Wales
8/27/2019,New South Wales
8/27/2019,Victoria
8/28/2019,New South Wales
8/28/2019,Western Australia
8/28/2019,Victoria
8/28/2019,New South Wales
8/28/2019,Victoria
8/28/2019,New South Wales
8/29/2019,Queensland
8/29/2019,Queensland
8/29/2019,Victoria
8/29/2019,Western Australia
8/30/2019,New South Wales
8/30/2019,Victoria
8/30/2019,Victoria
8/30/2019,Western Australia
8/30/2019,Australian Capital Territory
8/30/2019,Australian Capital Territory
8/30/2019,New South Wales
8/30/2019,New South Wales
8/31/2019,Western Australia
9/2/2019,Western Australia
9/2/2019,Victoria
9/2/2019,Queensland
9/2/2019,New South Wales
9/3/2019,New South Wales
9/3/2019,New South Wales
9/3/2019,Victoria
9/4/2019,New South Wales
9/4/2019,New South Wales
9/4/2019,Western Australia
9/4/2019,Australian Capital Territory
9/4/2019,New South Wales
9/4/2019,Western Australia
9/4/2019,Western Australia
9/4/2019,Western Australia
9/4/2019,Australian Capital Territory
9/4/2019,Western Australia
9/4/2019,Western Australia
9/4/2019,Western Australia
9/4/2019,Australian Capital Territory
9/4/2019,New South Wales
9/4/2019,Queensland
9/4/2019,Victoria
9/5/2019,Australian Capital Territory
9/5/2019,Australian Capital Territory
9/5/2019,Victoria
9/5/2019,Victoria
9/5/2019,Victoria
9/5/2019,New South Wales
9/5/2019,Western Australia
9/5/2019,Australian Capital Territory
9/6/2019,Queensland
9/6/2019,Queensland
9/6/2019,New South Wales
9/6/2019,New South Wales
9/6/2019,New South Wales
9/7/2019,Victoria
9/9/2019,New South Wales
9/9/2019,New South Wales
9/9/2019,New South Wales
9/9/2019,New South Wales
9/9/2019,New South Wales
9/9/2019,New South Wales
9/9/2019,New South Wales
9/10/2019,Victoria
9/10/2019,New South Wales
9/10/2019,New South Wales
9/10/2019,Victoria
9/11/2019,New South Wales
9/11/2019,New South Wales
9/11/2019,Victoria
9/11/2019,Queensland
9/11/2019,Western Australia
9/11/2019,Western Australia
9/11/2019,New South Wales
9/11/2019,Victoria
9/12/2019,Victoria
9/12/2019,Victoria
9/12/2019,Queensland
9/12/2019,Victoria
9/12/2019,Victoria
9/12/2019,New South Wales
9/13/2019,Queensland
9/13/2019,New South Wales
9/13/2019,New South Wales
9/13/2019,Western Australia
9/16/2019,Queensland
9/16/2019,South Australia
9/16/2019,Victoria
9/17/2019,New South Wales
9/17/2019,Victoria
9/18/2019,New South Wales
9/18/2019,Victoria
9/19/2019,Victoria
9/19/2019,New South Wales
9/19/2019,New South Wales
9/19/2019,Victoria
9/19/2019,Victoria
9/19/2019,New South Wales
9/19/2019,Western Australia
9/20/2019,New South Wales
9/20/2019,New South Wales
9/20/2019,Victoria
9/20/2019,Queensland
9/20/2019,Queensland
9/21/2019,New South Wales
9/23/2019,Victoria
9/23/2019,Victoria
9/23/2019,Western Australia
9/23/2019,Victoria
9/23/2019,Victoria
9/23/2019,New South Wales
9/24/2019,New South Wales
9/24/2019,Australian Capital Territory
9/24/2019,Australian Capital Territory
9/24/2019,New South Wales
9/24/2019,New South Wales
9/24/2019,Western Australia
9/24/2019,Western Australia
9/24/2019,Victoria
9/25/2019,Victoria
9/25/2019,Victoria
9/25/2019,New South Wales
9/25/2019,New South Wales
9/25/2019,Victoria
9/25/2019,Queensland
9/25/2019,New South Wales
9/25/2019,Queensland
9/26/2019,New South Wales
9/26/2019,Victoria
9/26/2019,Victoria
9/26/2019,Western Australia
9/26/2019,New South Wales
9/27/2019,Victoria
9/27/2019,New South Wales
9/29/2019,New South Wales
9/29/2019,New South Wales
9/30/2019,Queensland
9/30/2019,Western Australia
9/30/2019,New South Wales
9/30/2019,New South Wales
9/30/2019,New South Wales
10/1/2019,Victoria
10/1/2019,New South Wales
10/1/2019,Queensland
10/1/2019,Victoria
10/2/2019,South Australia
10/2/2019,Victoria
10/2/2019,South Australia
10/3/2019,Queensland
10/3/2019,Victoria
10/3/2019,Victoria
10/3/2019,New South Wales
10/3/2019,New South Wales
10/4/2019,New South Wales
10/4/2019,New South Wales
10/4/2019,New South Wales
10/4/2019,Australian Capital Territory
10/4/2019,New South Wales
10/4/2019,Victoria
10/4/2019,New South Wales
10/4/2019,Western Australia
10/4/2019,Western Australia
10/4/2019,Western Australia
10/4/2019,Victoria
10/4/2019,New South Wales
10/4/2019,New South Wales
10/4/2019,Western Australia
10/7/2019,Tasmania
10/7/2019,New South Wales
10/8/2019,New South Wales
10/8/2019,New South Wales
10/9/2019,New South Wales
10/9/2019,Victoria
10/9/2019,New South Wales
10/10/2019,South Australia
10/10/2019,New South Wales
10/10/2019,Western Australia
10/10/2019,Victoria
10/11/2019,New South Wales
10/11/2019,New South Wales
10/11/2019,Queensland
